"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R15,R2,R13,R14,R3,R16,R22,R11,R7,R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";10;"100K";;;
2;"U2";"DIP-8_W7.62mm";1;"TL072";;;
3;"R1,R18,R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"1K";;;
4;"D7,D5,D2,D1,D6,D4,D3";"D_DO-35_SOD27_P7.62mm_Horizontal";7;"1N4148";;;
5;"R5,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100";;;
6;"R10,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10K";;;
7;"U1";"DIP-14_W7.62mm";1;"TL074";;;
8;"R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"50K";;;
9;"C1,C2";"C_Radial_D6.3mm_H5.0mm_P2.50mm";2;"10u";;;
10;"R34";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"4.7K";;;
11;"D12";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";1;"LED";;;
12;"R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"5K";;;
13;"J2";"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical";1;"Conn_01x03_Pin";;;
14;"J5";"Jack_6.35mm_Neutrik_NJ2FD-V_Vertical";1;"AudioOut";;;
15;"RV2,RV3,RV1,RV4";"Potentiometer_Bourns_3386P_Vertical";4;"100K";;;
16;"J1";"Jack_6.35mm_Neutrik_NJ2FD-V_Vertical";1;"AudioIn";;;
