Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_Radial_D6.3mm_H5.0mm_P2.50mm",124.620000,-58.690000,90.000000,top
"C2","10u","C_Radial_D6.3mm_H5.0mm_P2.50mm",142.580000,-65.710000,-90.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",150.880000,-38.446667,0.000000,top
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",158.500000,-43.043333,180.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",150.880000,-47.640000,0.000000,top
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",158.490000,-69.023333,180.000000,top
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",150.870000,-64.016667,0.000000,top
"D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",158.490000,-59.010000,180.000000,top
"D7","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",115.890000,-57.130000,90.000000,top
"D12","LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",86.015000,-81.920000,-90.000000,top
"J2","Conn_01x03_Pin","PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical",102.980000,-81.780000,-90.000000,top
"R1","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",120.840000,-46.770000,0.000000,top
"R2","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",115.050000,-36.020000,0.000000,top
"R3","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",122.670000,-40.140000,180.000000,top
"R4","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",158.850000,-53.600000,180.000000,top
"R5","100","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",142.550000,-31.760000,0.000000,top
"R6","100","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",150.770000,-73.830000,0.000000,top
"R7","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",131.960000,-46.240000,90.000000,top
"R8","10K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",120.700000,-44.030000,0.000000,top
"R9","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",142.480000,-54.420000,-90.000000,top
"R10","10K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",145.090000,-62.040000,90.000000,top
"R11","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",92.060000,-66.590000,90.000000,top
"R12","50K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",83.730000,-40.820000,0.000000,top
"R13","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",85.910000,-56.250000,90.000000,top
"R14","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",106.980000,-40.020000,180.000000,top
"R15","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",103.360000,-59.880000,0.000000,top
"R16","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",88.090000,-45.990000,0.000000,top
"R17","5K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",116.260000,-63.460000,0.000000,top
"R18","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",138.370000,-73.880000,0.000000,top
"R22","100K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",138.450000,-84.430000,90.000000,top
"R34","4.7K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",97.240000,-82.060000,180.000000,top
"U1","TL074","DIP-14_W7.62mm",136.900000,-34.600000,0.000000,top
"U2","TL072","DIP-8_W7.62mm",99.065000,-46.050000,0.000000,top
